r,mr,mrr,hit1,hit3,hit10,count
0,1265.0,0.28477640086188605,0.25,0.25,0.375,8
1,1014.9285714285714,0.016088258984775124,0.0,0.0,0.07142857142857142,14
2,2361.439024390244,0.23815250286634987,0.12195121951219512,0.36585365853658536,0.3902439024390244,41
3,1231.3125,0.04956462734212277,0.03125,0.0625,0.0625,32
4,954.3698630136986,0.07489698442019303,0.0410958904109589,0.0821917808219178,0.14383561643835616,146
5,1520.435,0.022926419240783966,0.005,0.02,0.06,200
6,3951.51,0.007527258642700627,0.005,0.01,0.01,200
7,3495.825,0.12447983209687387,0.105,0.135,0.16,200
8,1853.555,0.019204305624823937,0.005,0.015,0.045,200
9,3566.115,0.007938331202688635,0.0,0.01,0.025,200
10,1475.19,0.017736442719370173,0.005,0.015,0.03,200
11,3433.23,0.012186465508620284,0.005,0.01,0.03,200
12,1630.695,0.021690575957108885,0.005,0.02,0.05,200
13,984.545,0.09276208279896903,0.065,0.09,0.15,200
14,1426.37,0.0292759579109368,0.005,0.035,0.07,200
15,3753.725,0.033275213969491534,0.015,0.045,0.075,200
16,2828.655,0.03724740791380959,0.025,0.035,0.065,200
17,4404.975,0.03466244910290795,0.03,0.03,0.045,200
18,2615.45,0.006863039651099234,0.0,0.005,0.025,200
19,3812.01,0.0004972971245410262,0.0,0.0,0.0,200
overall,2607.326442456032,0.03654530797391037,0.0212897253933971,0.038876889848812095,0.06510336315951867,3241
